Geo Point;Geo Shape;Numéro Opération;Adresse (Dénomination opération);Année du financement/agrément;Bailleur social;Nombre total de logements financés;dont nombre de logements PLA I;dont nombre de logements PLUS;dont nombre de logements PLUS CD;dont nombre de logements PLS;Mode de réalisation;Commentaires;Arrondissements;Nature de programme;Coord_X_LB93;Coord_Y_LB93
48.8641165723, 2.37518709046;"{""type"": ""Point"", ""coordinates"": [2.375187090463583, 48.86411657227737]}";2061.0;67-69, AVENUE PARMENTIER;2012;EFIDIS;44;12;12;0;20;acquisition réhabilitation;;11;logement familial;654162.2303;6862857.45
48.8491964555, 2.40543940715;"{""type"": ""Point"", ""coordinates"": [2.405439407154163, 48.849196455494024]}";2063.0;65, RUE DE LAGNY 10, RUE MOUNET SULLY;2012;ELOGIE;2;0;2;0;0;acquisition réhabilitation;;20;logement familial;656369.0777;6861181.318
48.8166247155, 2.35680185637;"{""type"": ""Point"", ""coordinates"": [2.356801856367592, 48.81662471552274]}";2067.0;18-34 RUE PAUL BOURGET;2012;ELOGIE;62;12;31;0;19;construction neuve;;13;logement familial;652770.4602;6857587.674
48.8927146038, 2.3178373252;"{""type"": ""Point"", ""coordinates"": [2.317837325200521, 48.892714603786075]}";2075.0;5, RUE EMILE LEVEL;2012;ELOGIE;1;0;1;0;0;acquisition réhabilitation;;17;logement familial;649982.4867;6866072.172
48.8201117863, 2.34866018051;"{""type"": ""Point"", ""coordinates"": [2.348660180511704, 48.82011178626938]}";2080.0;75, BD KELLERMANN;2012;ELOGIE;1;0;1;0;0;acquisition réhabilitation;;13;logement familial;652175.835;6857980.293
48.8616934254, 2.34901480191;"{""type"": ""Point"", ""coordinates"": [2.349014801911846, 48.86169342535491]}";2081.0;75, RUE SAINT DENIS;2012;ELOGIE;11;3;8;0;0;construction neuve;;1;logement familial;652239.9899;6862603.527
48.8202209483, 2.37336946225;"{""type"": ""Point"", ""coordinates"": [2.373369462251645, 48.82022094825344]}";2091.0;ZAC BEDIER BOUTROUX;2012;GAMBETTA L;163;0;0;0;163;construction neuve;;13;résidence pour étudiants;653990.154;6857977.749
48.8249885213, 2.33050284314;"{""type"": ""Point"", ""coordinates"": [2.330502843141897, 48.82498852134062]}";2098.0;10, RUE LACAZE;2012;IMM 3F;14;4;8;0;2;construction neuve;;14;logement familial;650847.2744;6858533.676
48.8568866707, 2.36008043878;"{""type"": ""Point"", ""coordinates"": [2.36008043878196, 48.856886670689754]}";2104.0;10, RUE DES ROSIERS;2012;PARIS HAB;3;0;3;0;0;acquisition réhabilitation;;4;logement familial;653047.4791;6862062.42
48.8324722927, 2.35996464853;"{""type"": ""Point"", ""coordinates"": [2.359964648528281, 48.83247229265942]}";2109.0;148-150, BD VINCENT AURIOL;2012;PARIS HAB;25;0;18;0;7;construction neuve;;13;résidence pour étudiants;653016.9793;6859347.85
